"","phecode","male_only","female_only"
"197","225.1",FALSE,FALSE
"198","225.2",FALSE,FALSE
"199","226",FALSE,FALSE
"200","227",FALSE,FALSE
"201","227.1",FALSE,FALSE
"202","227.2",FALSE,FALSE
"203","227.3",FALSE,FALSE
"204","228",FALSE,FALSE
"205","228.1",FALSE,FALSE
"206","229",FALSE,FALSE
"207","229.1",FALSE,FALSE
"208","230",FALSE,FALSE
"209","240",FALSE,FALSE
"210","241",FALSE,FALSE
"211","241.1",FALSE,FALSE
"212","241.2",FALSE,FALSE
"213","242",FALSE,FALSE
"214","242.1",FALSE,FALSE
"215","242.2",FALSE,FALSE
"216","242.3",FALSE,FALSE
"217","242.31",FALSE,FALSE
"218","244",FALSE,FALSE
"219","244.1",FALSE,FALSE
"220","244.2",FALSE,FALSE
"221","244.3",FALSE,FALSE
"222","244.4",FALSE,FALSE
"223","244.5",FALSE,FALSE
"224","245",FALSE,FALSE
"225","245.1",FALSE,FALSE
"226","245.2",FALSE,FALSE
"227","245.21",FALSE,FALSE
"228","246",FALSE,FALSE
"229","246.2",FALSE,FALSE
"230","246.7",FALSE,FALSE
"231","249",FALSE,FALSE
"232","250",FALSE,FALSE
"233","250.1",FALSE,FALSE
"234","250.11",FALSE,FALSE
"235","250.12",FALSE,FALSE
"236","250.13",FALSE,FALSE
"237","250.14",FALSE,FALSE
"238","250.15",FALSE,FALSE
"239","250.2",FALSE,FALSE
"240","250.21",FALSE,FALSE
"241","250.22",FALSE,FALSE
"242","250.23",FALSE,FALSE
"243","250.24",FALSE,FALSE
"244","250.25",FALSE,FALSE
"245","250.3",FALSE,FALSE
"246","250.4",FALSE,FALSE
"247","250.41",FALSE,FALSE
"248","250.42",FALSE,FALSE
"249","250.5",FALSE,FALSE
"250","250.6",FALSE,FALSE
"251","250.7",FALSE,FALSE
"252","251",FALSE,FALSE
"253","251.1",FALSE,FALSE
"254","251.8",FALSE,FALSE
"255","252",FALSE,FALSE
"256","252.1",FALSE,FALSE
"257","252.2",FALSE,FALSE
"258","253",FALSE,FALSE
"259","253.1",FALSE,FALSE
"260","253.11",FALSE,FALSE
"261","253.2",FALSE,FALSE
"262","253.3",FALSE,FALSE
"263","253.4",FALSE,FALSE
"264","253.5",FALSE,FALSE
"265","253.7",FALSE,FALSE
"266","254",FALSE,FALSE
"267","255",FALSE,FALSE
"268","255.1",FALSE,FALSE
"269","255.11",FALSE,FALSE
"270","255.12",FALSE,FALSE
"271","255.13",FALSE,FALSE
"272","255.2",FALSE,FALSE
"273","255.21",FALSE,FALSE
"274","255.22",FALSE,FALSE
"275","255.3",FALSE,FALSE
"276","256",FALSE,TRUE
"277","256.1",FALSE,FALSE
"278","256.4",FALSE,TRUE
"279","257",TRUE,FALSE
"280","257.1",TRUE,FALSE
"281","258",FALSE,FALSE
"282","258.1",FALSE,TRUE
"283","259",FALSE,FALSE
"284","259.1",FALSE,FALSE
"285","259.2",FALSE,FALSE
"286","259.3",FALSE,FALSE
"287","259.4",FALSE,FALSE
"288","259.8",FALSE,FALSE
"289","260",FALSE,FALSE
"290","260.1",FALSE,FALSE
"291","260.2",FALSE,FALSE
"292","260.21",FALSE,FALSE
"293","260.22",FALSE,FALSE
"294","260.3",FALSE,FALSE
"295","260.6",FALSE,FALSE
"296","260.7",FALSE,FALSE
"297","261",FALSE,FALSE
"298","261.1",FALSE,FALSE
"299","261.2",FALSE,FALSE
"300","261.3",FALSE,FALSE
"301","261.4",FALSE,FALSE
"302","261.41",FALSE,FALSE
"303","262",FALSE,FALSE
"304","263",FALSE,FALSE
"305","264",FALSE,FALSE
"306","264.1",FALSE,FALSE
"307","264.2",FALSE,FALSE
"308","264.3",FALSE,FALSE
"309","264.9",FALSE,FALSE
"310","269",FALSE,FALSE
"311","270",FALSE,FALSE
"312","270.1",FALSE,FALSE
"313","270.11",FALSE,FALSE
"314","270.12",FALSE,FALSE
"315","270.2",FALSE,FALSE
"316","270.21",FALSE,FALSE
"317","270.3",FALSE,FALSE
"318","270.31",FALSE,FALSE
"319","270.32",FALSE,FALSE
"320","270.33",FALSE,FALSE
"321","270.34",FALSE,FALSE
"322","270.35",FALSE,FALSE
"323","270.38",FALSE,FALSE
"324","271",FALSE,FALSE
"325","271.3",FALSE,FALSE
"326","271.9",FALSE,FALSE
"327","272",FALSE,FALSE
"328","272.1",FALSE,FALSE
"329","272.11",FALSE,FALSE
"330","272.12",FALSE,FALSE
"331","272.13",FALSE,FALSE
"332","272.14",FALSE,FALSE
"333","272.9",FALSE,FALSE
"334","274",FALSE,FALSE
"335","274.1",FALSE,FALSE
"336","274.11",FALSE,FALSE
"337","274.2",FALSE,FALSE
"338","274.21",FALSE,FALSE
"339","275",FALSE,FALSE
"340","275.1",FALSE,FALSE
"341","275.11",FALSE,FALSE
"342","275.2",FALSE,FALSE
"343","275.3",FALSE,FALSE
"344","275.5",FALSE,FALSE
"345","275.51",FALSE,FALSE
"346","275.53",FALSE,FALSE
"347","275.6",FALSE,FALSE
"348","276",FALSE,FALSE
"349","276.1",FALSE,FALSE
"350","276.11",FALSE,FALSE
"351","276.12",FALSE,FALSE
"352","276.13",FALSE,FALSE
"353","276.14",FALSE,FALSE
"354","276.4",FALSE,FALSE
"355","276.41",FALSE,FALSE
"356","276.42",FALSE,FALSE
"357","276.5",FALSE,FALSE
"358","276.6",FALSE,FALSE
"359","276.8",FALSE,FALSE
"360","277",FALSE,FALSE
"361","277.1",FALSE,FALSE
"362","277.2",FALSE,FALSE
"363","277.4",FALSE,FALSE
"364","277.5",FALSE,FALSE
"365","277.51",FALSE,FALSE
"366","277.6",FALSE,FALSE
"367","277.7",FALSE,FALSE
"368","277.8",FALSE,FALSE
"369","278",FALSE,FALSE
"370","278.1",FALSE,FALSE
"371","278.11",FALSE,FALSE
"372","278.3",FALSE,FALSE
"373","278.4",FALSE,FALSE
"374","279",FALSE,FALSE
"375","279.1",FALSE,FALSE
"376","279.11",FALSE,FALSE
"377","279.2",FALSE,FALSE
"378","279.7",FALSE,FALSE
"379","279.8",FALSE,FALSE
"380","280",FALSE,FALSE
"381","280.1",FALSE,FALSE
"382","280.2",FALSE,FALSE
"383","281",FALSE,FALSE
"384","281.1",FALSE,FALSE
"385","281.11",FALSE,FALSE
"386","281.12",FALSE,FALSE
"387","281.13",FALSE,FALSE
"388","281.9",FALSE,FALSE
"389","282",FALSE,FALSE
"390","282.5",FALSE,FALSE
"391","282.8",FALSE,FALSE
"392","282.9",FALSE,FALSE
"393","283",FALSE,FALSE
"394","283.1",FALSE,FALSE
"395","283.2",FALSE,FALSE
"396","283.21",FALSE,FALSE
"397","284",FALSE,FALSE
"398","284.1",FALSE,FALSE
"399","284.2",FALSE,FALSE
"400","285",FALSE,FALSE
"401","285.1",FALSE,FALSE
"402","285.2",FALSE,FALSE
